name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
Faction Drinks Cabinet,cq_drinks_cabinet,"cq_furnishing, cq_pool_market",Captain's Quarters,,4000,1,1,,graphics/cq/icons/cq_icon_drinks_cabinet.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A wall cabinet stocked one port at a time: Hegemony navy rum, communion wine out of Gilead, and a Tri-Tachyon product labeled as whiskey.",917
Dockside Songbook Chips,cq_songbook_chips,"cq_furnishing, cq_pool_market",Captain's Quarters,,1500,1,1,,graphics/cq/icons/cq_icon_songbook_chips.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"Dockside songbooks are the collected repertoire of the sector's port bars, indexed here by system and vintage across a case of chips.",918
Wardroom Strategikon,cq_strategikon,"cq_furnishing, cq_pool_scavenge",Captain's Quarters,,10000,1,1,,graphics/cq/icons/cq_icon_strategikon.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A Domain officer-training strategikon with most of its scenario library intact, annotated in three different hands. The scenarios assume fleet strengths no successor navy can field, but the maneuver problems underneath have not aged, and instructors still set the older ones as exercises.",919
Gel-Rest Mattress,cq_gel_mattress,"cq_furnishing, cq_pool_market",Captain's Quarters,,1500,1,1,,graphics/cq/icons/cq_icon_gel_mattress.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"Medical agrav gel in a wipe-clean sleeve, the same mattress stock station med-bays fit in their recovery wards. It holds a sleeper level through burn changes and soaks up the shudder of the drive.",920
Officer's Rest Rack,cq_officers_rack,"cq_furnishing, cq_pool_battle",Captain's Quarters,,4000,1,1,,graphics/cq/icons/cq_icon_officers_rack.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"Prize crews strip an officer's rest rack first when a ship is taken, so racks in this condition rarely reach the open market. This one is Hegemony pattern, fold-down frame with regulation bedding, its serial stenciled twice by two different yards.",921
Cryofoam Bunk,cq_cryofoam_bunk,"cq_furnishing, cq_pool_scavenge",Captain's Quarters,,10000,1,1,,graphics/cq/icons/cq_icon_cryofoam_bunk.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"Cryosleeper foam is rated to hold a colonist through a century of transit. This bunk was built up from a sleeper ship's spare stock, and it measures the occupant's pulse and cools or warms to match.",922
Stations of the Path Triptych,cq_path_triptych,"cq_furnishing, cq_pool_market",Captain's Quarters,,1500,1,1,,graphics/cq/icons/cq_icon_path_triptych.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A folding triptych printed on sanctified tin, its twelve panels showing the Stations of the Path from Ludd's walk.",923
Kill-Mark Stencils,cq_kill_marks,"cq_furnishing, cq_pool_battle",Captain's Quarters,,4000,1,1,,graphics/cq/icons/cq_icon_kill_marks.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A stencil sheet recovered from a warlord's flagship, kill marks cut in a dozen hull-paint sizes, half of them showing no paint wear at all. The marks that were used correspond to confirmed losses in three systems.",924
Captured Warlord Banner,cq_warlord_banner,"cq_furnishing, cq_pool_battle",Captain's Quarters,,10000,1,1,,graphics/cq/icons/cq_icon_warlord_banner.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"The personal banner of a warlord, taken in a boarding action and hung with the burn holes unrepaired. Its former owner is alive, at large, and offering a reward for its return well above what any broker would pay.",925
Hull-Rat Cage,cq_hull_rat_cage,"cq_furnishing, cq_pool_battle",Captain's Quarters,,1500,1,1,,graphics/cq/icons/cq_icon_hull_rat_cage.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A wire cage for a hull-rat that came aboard off a wreck and stayed. The animal reacts to pressure changes and finds slow leaks before the sensors flag them, then sits by the spot until someone comes to look.",926
Cyber-Parrot,cq_cyber_parrot,"cq_furnishing, cq_pool_market",Captain's Quarters,,4000,1,1,,graphics/cq/icons/cq_icon_cyber_parrot.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A parrot with a wetware vocal implant, sold dockside as a novelty. It repeats damage-control calls with perfect fidelity, and on a few occasions has repeated one minutes before the call was made.",927
Agravifish Bowl,cq_agravifish_bowl,"cq_furnishing, cq_pool_market",Captain's Quarters,,4000,1,1,,graphics/cq/icons/cq_icon_agravifish_bowl.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,Agravifish from the habitat looms of Kumari Kandam drift in slow schools by their own faint light.,928
Antixenol Planter,cq_antixenol_planter,"cq_furnishing, cq_pool_market",Captain's Quarters,,1500,1,1,,graphics/cq/icons/cq_icon_antixenol_planter.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"Antixenol cuttings from Jangala stock, grown under a red lamp on a spliced med-bay power feed. Steeped in hot water, the leaves make the standard frontier remedy for xeno-allergen exposure.",929
Gilead Prayer Garden,cq_prayer_garden,"cq_furnishing, cq_pool_market",Captain's Quarters,,4000,1,1,,graphics/cq/icons/cq_icon_prayer_garden.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A boxed plot of true Gilead soil under devotional glass, planted with barley and a row of kitchen greens.",930
Volturn Reef Terrarium,cq_reef_terrarium,"cq_furnishing, cq_pool_scavenge",Captain's Quarters,,25000,1,1,,graphics/cq/icons/cq_icon_reef_terrarium.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A sealed section of living reef from the shallows of Volturn, polyps and weed cycling their own water under a grow lamp.",931
Secondhand Chart Table,cq_chart_table,"cq_furnishing, cq_pool_market",Captain's Quarters,,1500,1,1,,graphics/cq/icons/cq_icon_chart_table.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A chart table scarred by a century of divider points, bought secondhand with the previous owners' working routes scribed into the surface. A few of those routes check out against survey data and appear on no chart in circulation.",932
Navigator's Ephemeris,cq_ephemeris,"cq_furnishing, cq_pool_market",Captain's Quarters,,4000,1,1,,graphics/cq/icons/cq_icon_ephemeris.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A printed slipstream ephemeris carried through two decades of frontier runs, its margins filled with corrections and cautions in several hands.",933
Surveyor's Slate Rack,cq_slate_rack,"cq_furnishing, cq_pool_scavenge",Captain's Quarters,,4000,1,1,,graphics/cq/icons/cq_icon_slate_rack.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,A rack of Explorarium field slates holding checklists and calibration protocols for survey work as the Domain practiced it.,934
Academy Sample Case,cq_sample_case,"cq_furnishing, cq_pool_scavenge",Captain's Quarters,,1500,1,1,,graphics/cq/icons/cq_icon_sample_case.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A glass case of xeno-geology reference samples, each labeled with grade and origin in Galatia Academy catalog style. The case is an Academy loan whose paperwork lapsed years ago, and the Academy has never asked for it back. The crew sorts salvage finds against the reference set.",935
Vambrace Fragment,cq_vambrace_fragment,"cq_furnishing, cq_pool_battle",Captain's Quarters,,4000,1,1,,graphics/cq/icons/cq_icon_vambrace_fragment.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"An armor fragment off an Onslaught of the original Mk.I pattern, from the section the yard manuals call the vambrace. It carries no fabrication-rights stamp anywhere, which dates the forging to before the Domain required them.",936
Warlord's Sidearm,cq_warlord_sidearm,"cq_furnishing, cq_pool_battle",Captain's Quarters,,4000,1,1,,graphics/cq/icons/cq_icon_warlord_sidearm.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"An engraved sidearm surrendered when a boarding action went against its owner, and never returned. The engraving records victories in ancient script. The mechanism is a common Hegemony pattern, well kept, and shoots true.",937
Insulfiber Carpet,cq_insulfiber_carpet,"cq_furnishing, cq_pool_market",Captain's Quarters,,1500,1,1,,graphics/cq/icons/cq_icon_insulfiber_carpet.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"Seamed together from yard surplus and cut to the cabin's deck plan, this insulfiber carpet deadens footsteps and slows the thermal bleed of the plating in cold running.",938
Tarsus Deck-Quilt,cq_deck_quilt,"cq_furnishing, cq_pool_market",Captain's Quarters,,4000,1,1,,graphics/cq/icons/cq_icon_deck_quilt.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A deck-quilt stitched from liner blankets by a prize crew with time on their hands somewhere off Tarsus. The seams are navy-neat, and the layered fill blocks sound and stray heat better than most purpose-made bedding. Imitations have circulated for years. This is the original.",939
Askonian Ash-Silk Rug,cq_ash_silk_rug,"cq_furnishing, cq_pool_scavenge",Captain's Quarters,,10000,1,1,,graphics/cq/icons/cq_icon_ash_silk_rug.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"Askonian ash-silk, woven at Sindria from fiber spun out of processed Volturn ash-weed, runs cool underfoot, takes dye poorly, and wears for decades, so most examples keep the gray of the raw thread.",940
Low-Band Glowpanel,cq_glowpanel,"cq_furnishing, cq_pool_scavenge",Captain's Quarters,,1500,1,1,,graphics/cq/icons/cq_icon_glowpanel.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"Running a glowpanel below its rated output is a spacer economy older than the Collapse. This one came rewired from a dockside shop: light enough to work by, a lower draw on the bus, and an element that outlasts its service rating by years.",941
Fabrique Orbitale Desk Lamp,cq_desk_lamp,"cq_furnishing, cq_pool_market",Captain's Quarters,,4000,1,1,,graphics/cq/icons/cq_icon_desk_lamp.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A desk lamp built around a sealed micro-fusion core, made by the firm that builds fusion lamps at planetary scale. The plate on the base reads ""Safe for indoor use.""",942
Hegemony Signal Lamp,cq_signal_lamp,"cq_furnishing, cq_pool_battle",Captain's Quarters,,4000,1,1,,graphics/cq/icons/cq_icon_signal_lamp.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"Still loaded with its drill sequences, this Hegemony signals lamp is the brass-housed pattern issued to training commands.",943
Prize-Crew Still,cq_prize_still,"cq_furnishing, cq_pool_battle",Captain's Quarters,,1500,1,1,,graphics/cq/icons/cq_icon_prize_still.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A compact still of prize-crew manufacture, producing a spirit that is rough but clean. Incidents involving stripped solvent have stopped since it came aboard. It is plumbed in behind the galley recycler, out of the usual inspection path, not that it matters to you.",944
Volturnian Lobster Tank,cq_lobster_tank,"cq_furnishing, cq_pool_market",Captain's Quarters,,10000,1,1,,graphics/cq/icons/cq_icon_lobster_tank.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"Live Volturnian lobster, in a tank plumbed and filtered to holding-pen standards. It draws more power than the galley ovens and needs a water contract at every port call. The flavor is said to be exceptional. Engineering ran a heavier power trunk to the cabin to carry it.",945
Phaged Darjeeling Service,cq_darjeeling_service,"cq_furnishing, cq_pool_scavenge",Captain's Quarters,,25000,1,1,,graphics/cq/icons/cq_icon_darjeeling_service.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"Phase-aged tea is leaf of Old Earth stock carried through enough hyperspace crossings to soften the tannins. This service was built for it: heavy pot, shielded caddy, and a certificate of carriage listing every transit. Genuine stock is scarce and difficult to verify by taste alone.",946
Arms-Catalog Subscription,cq_arms_catalog,"cq_furnishing, cq_pool_market",Captain's Quarters,,1500,1,1,,graphics/cq/icons/cq_icon_arms_catalog.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A standing subscription to the sector's arms catalogs, refreshed onto a set of dog-eared TriPads at every port with a comm relay. Current listings put a price on most of what the fleet fights, salvages, or considers buying.",947
Holo-Chess Set,cq_holo_chess,"cq_furnishing, cq_pool_market",Captain's Quarters,,4000,1,1,,graphics/cq/icons/cq_icon_holo_chess.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"Worn to a shine along the queen files, this tournament-grade holo-chess set has anchored the wardroom's evenings for years.",948
Muse Cabinet,cq_muse_cabinet,"cq_furnishing, cq_pool_scavenge",Captain's Quarters,,25000,1,1,,graphics/cq/icons/cq_icon_muse_cabinet.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A Domain-era muse cabinet that composes training scenarios fitted to whoever sits at it. The maker's plate certifies it is not an AI but a weighted heuristic network, in full compliance with Domain regulation.",949
Lion's Guard Ceremonial Saber,cq_guard_saber,"cq_furnishing, cq_pool_quest",Captain's Quarters,,10000,1,1,,graphics/cq/icons/cq_icon_guard_saber.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A ceremonial saber of the Lion's Guard. The blade was never sharpened and the scabbard is welded shut, both per Guard custom for peacetime awards.",950
Motes in Amber,cq_amber_motes,"cq_furnishing, cq_pool_quest",Captain's Quarters,,25000,1,1,,graphics/cq/icons/cq_icon_amber_motes.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,A block of amber resin holding a swarm of drive-field motes recovered after the Ziggurat action. The Academy team that sealed the block certified the resin and declined to certify the contents. The motes still keep formation.,951
Janus Prototype Casing,cq_janus_casing,"cq_furnishing, cq_pool_quest",Captain's Quarters,,25000,1,1,,graphics/cq/icons/cq_icon_janus_casing.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"The housing of a Janus Device prototype, decommissioned and signed out of the Galatia Academy. The active components were removed before transfer.",952
Pilgrim's Twelve-Station Icon,cq_pilgrim_icon,"cq_furnishing, cq_pool_quest",Captain's Quarters,,10000,1,1,,graphics/cq/icons/cq_icon_pilgrim_icon.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A twelve-panel devotional icon carried the length of the Pilgrim's Path and stamped at every shrine along the way. The panels are fine work on sanctified tin; the frame is scrap iron, in keeping with pilgrim practice.",953
Bornanew Reliquary,cq_bornanew_reliquary,"cq_furnishing, cq_pool_quest",Captain's Quarters,,10000,1,1,,graphics/cq/icons/cq_icon_bornanew_reliquary.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"Sealed by the ecumene council before the handover, this reliquary comes from the Bornanew mission. Church records list the contents as a settled doctrinal question. The wax and lead of the seal are intact.",954
"Rao Ball Invitation, Framed",cq_rao_invitation,"cq_furnishing, cq_pool_quest",Captain's Quarters,,4000,1,1,,graphics/cq/icons/cq_icon_rao_invitation.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"An invitation to the annual ball of gens Rao on Eventide, gilt-edged and framed under glass. Perhaps two hundred are issued each cycle, and few of those leave the planet. By Eventide etiquette an invitation neither declined nor withdrawn stands open, and this one was never either.",955
Inert Trigger Assembly,cq_inert_trigger,"cq_furnishing, cq_pool_quest",Captain's Quarters,,25000,1,1,,graphics/cq/icons/cq_icon_inert_trigger.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"The trigger assembly of a planetkiller weapon, certified inert by two separate ordnance boards and kept behind glass. The certification file travels with the assembly and runs to several hundred pages.",956
Kallichore Reading-Room Plate,cq_kallichore_plate,"cq_furnishing, cq_pool_quest",Captain's Quarters,,4000,1,1,,graphics/cq/icons/cq_icon_kallichore_plate.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A brass reading-room plate from the Kallichore Archive, engraved with the word SILENCE in four dead languages. Archive fittings are inventoried and do not circulate.",957
Kanta's Marker,cq_kanta_marker,"cq_furnishing, cq_pool_quest",Captain's Quarters,,10000,1,1,,graphics/cq/icons/cq_icon_kanta_marker.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"Kanta's protection takes the form of a physical marker, issued from her Den and honored wherever her name carries weight. Pirate crews check for one before they bother with a transponder. Markers attach to a person rather than a ship, and the Den does not replace lost ones.",958
Red Planet Survey Slab,cq_survey_slab,"cq_furnishing, cq_pool_quest",Captain's Quarters,,10000,1,1,,graphics/cq/icons/cq_icon_survey_slab.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A polished core-sample slab from the shield laboratory on the Red Planet, field notes etched straight into the face. The notes are routine records of depth and composition until the last column, where the flux figures climb well past anything the surrounding notes explain.",959
Imperial Megalobster Tank,cq_megalobster_tank,"cq_furnishing, cq_pool_unique",Captain's Quarters,,25000,1,1,,graphics/cq/icons/cq_icon_megalobster_tank.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A pressurized brine tank holding a breeding-line Volturnian megalobster, surplus from the Diktat's imperial aquaculture program. The line is engineered for banquet mass and parade color. This specimen is still years short of table size.",960
Chicomoztoc Parade Standard,cq_parade_standard,"cq_furnishing, cq_pool_unique",Captain's Quarters,,10000,1,1,,graphics/cq/icons/cq_icon_parade_standard.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"Machine-embroidered to the specification's ceremonial thread count, this Hegemony parade standard comes from the muster fields of Chicomoztoc. It is sized for a parade ground rather than a cabin, and hanging it square is a two-person job.",961
Kazeron Gens Signet Case,cq_signet_case,"cq_furnishing, cq_pool_unique",Captain's Quarters,,10000,1,1,,graphics/cq/icons/cq_icon_signet_case.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A velvet-lined case of five gens signets, one from each of the great houses of Kazeron. The rings assay as genuine gold and period work.",962
Eochu Bres Neural Soother,cq_neural_soother,"cq_furnishing, cq_pool_unique",Captain's Quarters,,10000,1,1,,graphics/cq/icons/cq_icon_neural_soother.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A Tri-Tachyon executive neural soother from Eochu Bres, tuned to the boardroom stress profile and licensed per user per cycle. Leaving the corporate network voided the warranty and ended the per-cycle billing. The hardware itself runs as built, and takes the edge off a hard watch.",963
Gilead Reliquary Lamp,cq_reliquary_lamp,"cq_furnishing, cq_pool_unique",Captain's Quarters,,10000,1,1,,graphics/cq/icons/cq_icon_reliquary_lamp.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A reliquary lamp of consecrated glass from Gilead, blessed for shipboard vigils. The element is shrouded so the light falls soft and carries no distance, which suits the devout at prayer.",964
Tesseract Facet Cluster,cq_tesseract_cluster,"cq_furnishing, cq_pool_guaranteed",Captain's Quarters,,25000,1,1,,graphics/cq/icons/cq_icon_tesseract_cluster.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A cluster of facets cut from a destroyed Tesseract, mounted in a containment frame that, as far as anyone can measure, does nothing. Under direct light the refractions include things that are not in the room.",965
Mothership Chart Core,cq_chart_core,"cq_furnishing, cq_pool_guaranteed",Captain's Quarters,,25000,1,1,,graphics/cq/icons/cq_icon_chart_core.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"The navigation chart core of a Domain Explorarium mothership, decades of survey flight in a housing the size of a footlocker. Most frontier charts in circulation are copies of copies of cores like this. This one is an original, and its full index waits on a Domain clearance.",966
Nexus Command Shard,cq_nexus_shard,"cq_furnishing, cq_pool_guaranteed",Captain's Quarters,,25000,1,1,,graphics/cq/icons/cq_icon_nexus_shard.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A command shard cut from the heart of a Remnant nexus, still running a closed loop of its old logistics doctrine. Wired into the wardroom game table, it plays a patient, exact positional game. It has also taken to adding items to the maintenance schedule.",967
Lab Sample Carousel,cq_sample_carousel,"cq_furnishing, cq_pool_thematic",Captain's Quarters,,4000,1,1,,graphics/cq/icons/cq_icon_sample_carousel.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A motorized specimen carousel from a research station, working through a preservation schedule with no author on record. The tube labels follow a cataloging standard two centuries dead, and the samples themselves are ordinary gravel. The mechanism is fine work and runs on a trickle of power.",968
Quartermaster's Lockbox,cq_lockbox,"cq_furnishing, cq_pool_thematic",Captain's Quarters,,4000,1,1,,graphics/cq/icons/cq_icon_lockbox.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A quartermaster's lockbox from a military equipment cache, rated against blast, vacuum, and forced entry. The combination reset procedure is stamped inside the lid, and the manifest slot holds a blank form. It bolts straight to standard deck plating.",969
Core-Sample Bookends,cq_bookends,"cq_furnishing, cq_pool_thematic",Captain's Quarters,,1500,1,1,,graphics/cq/icons/cq_icon_bookends.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"Cut square and polished, this pair of drill-core slugs came out of a mining station's assay office. The exposed strata record the rock's whole depositional history in order, and assay apprentices once trained their reading on sections like these.",970
Hab-Grown Vine Basket,cq_vine_basket,"cq_furnishing, cq_pool_thematic",Captain's Quarters,,4000,1,1,,graphics/cq/icons/cq_icon_vine_basket.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"Edible vine from an orbital habitat's air garden, its roots bedded in filter sponge in a woven basket. The vine feeds on scrubber exhaust and returns a steady handful of greens each week, and habitat garden stalls sell them ready-grown at most large stations.",971
